CFSProbComp,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Public Service Department
Completed Work Orders by Problem Type",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Page:,1
Date:,,,01/18/2019,,,,,,,,,,,,,,,,,,
,,,,,,,,01/01/2018,,,to,,12/31/2018,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
TOTALS FOR PS TYPE: PS10 Pothole,,,,,,,,,,,,,,,,,,,,,
,WO Num,,,,,                 Created,,,Completed,,,,,Organ,Ctr,WO Units,,,Weight,,
,WO-PS-18-001421,,,,,1/29/2018 11:16 AM,,,2/1/2018 12:00 AM,,,,,43124,307 ,0.5,,,"1,000",,
,WO-PS-18-001449,,,,,1/29/2018 2:17 PM,,,1/29/2018 12:00 AM,,,,,43175,507 ,12,,,"1,995",,
,WO-PS-18-001480,,,,,1/30/2018 8:16 AM,,,1/29/2018 12:00 AM,,,,,43176,600 ,1,,,1,,
,WO-PS-18-001483,,,,,1/30/2018 8:22 AM,,,1/30/2018 12:00 AM,,,,,43110,504 ,0,,,0,,
,WO-PS-18-001576,,,,,1/31/2018 8:17 AM,,,1/31/2018 12:00 AM,,,,,43175,507 ,0,,,0,,
,WO-PS-18-001601,,,,,1/31/2018 11:01 AM,,,2/2/2018 12:00 AM,,,,,43124,306 ,1.07,,,"2,000",,
,WO-PS-18-001603,,,,,1/31/2018 12:11 PM,,,2/1/2018 12:00 AM,,,,,43124,304 ,1,,,"2,000",,
,WO-PS-18-001643,,,,,2/1/2018 9:18 AM,,,1/31/2018 12:00 AM,,,,,43176,603 ,2,,,2,,
,WO-PS-18-001671,,,,,2/1/2018 1:14 PM,,,1/31/2018 12:00 AM,,,,,43172,200 ,1,,,"1,995",,
,WO-PS-18-001709,,,,,2/2/2018 7:29 AM,,,2/1/2018 12:00 AM,,,,,43172,200 ,1,,,"2,005",,
,WO-PS-18-001712,,,,,2/2/2018 7:50 AM,,,2/1/2018 12:00 AM,,,,,43176,604 ,2,,,2,,
,WO-PS-18-001728,,,,,2/2/2018 9:30 AM,,,2/2/2018 12:00 AM,,,,,43175,506 ,0.5,,,1,,
,WO-PS-18-001741,,,,,2/2/2018 12:27 PM,,,2/5/2018 12:00 AM,,,,,43174,402 ,0,,,0,,
,WO-PS-18-001745,,,,,2/2/2018 1:47 PM,,,2/13/2018 12:00 AM,,,,,43124,307 ,0.5,,,"1,000",,
,WO-PS-18-001804,,,,,2/5/2018 12:06 PM,,,2/12/2018 12:00 AM,,,,,43124,309 ,1.5,,,"3,000",,
,WO-PS-18-001824,,,,,2/5/2018 2:08 PM,,,2/6/2018 12:00 AM,,,,,43172,203 ,0.1,,,0,,
,WO-PS-18-001839,,,,,2/6/2018 7:17 AM,,,2/6/2018 12:00 AM,,,,,43124,605 ,4.55,,,"9,000",,
,WO-PS-18-001858,,,,,2/6/2018 9:07 AM,,,2/6/2018 12:00 AM,,,,,43175,510 ,0.5,,,1,,
,WO-PS-18-001873,,,,,2/6/2018 9:44 AM,,,2/5/2018 12:00 AM,,,,,43176,603 ,1,,,1,,
